STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       7364;2022021700;    3;  13.5;  75.0;eor
       7364;2022021701;    3;  13.7;  77.0;eor
       7364;2022021702;    3;  11.1;  76.0;eor
       7364;2022021703;    3;  11.4;  60.0;eor
       7364;2022021704;    3;   9.9;  70.0;eor
       7364;2022021705;    3;   9.4;  69.0;eor
       7364;2022021706;    3;   8.9;  68.0;eor
       7364;2022021707;    3;   8.4;  64.0;eor
       7364;2022021708;    3;   8.3;  63.0;eor
       7364;2022021709;    3;   9.3;  56.0;eor
       7364;2022021710;    3;  10.1;  52.0;eor
       7364;2022021711;    3;  10.1;  53.0;eor
       7364;2022021712;    3;  10.5;  44.0;eor
       7364;2022021713;    3;  10.0;  48.0;eor
       7364;2022021714;    3;  10.1;  46.0;eor
       7364;2022021715;    3;   9.7;  49.0;eor
       7364;2022021716;    3;   8.4;  53.0;eor
       7364;2022021717;    3;   7.8;  52.0;eor
       7364;2022021718;    3;   6.5;  65.0;eor
       7364;2022021719;    3;   6.7;  61.0;eor
       7364;2022021720;    3;   5.7;  68.0;eor
       7364;2022021721;    3;   6.3;  61.0;eor
       7364;2022021722;    3;   5.9;  62.0;eor
       7364;2022021723;    3;   5.3;  64.0;eor
       7364;2022021800;    3;   5.0;  63.0;eor
       7364;2022021801;    3;   4.4;  67.0;eor
       7364;2022021802;    3;   6.0;  63.0;eor
       7364;2022021803;    3;   5.5;  68.0;eor
       7364;2022021804;    3;   4.9;  74.0;eor
       7364;2022021805;    3;   5.1;  74.0;eor
       7364;2022021806;    3;   5.1;  73.0;eor
       7364;2022021807;    3;   5.5;  75.0;eor
       7364;2022021808;    3;   6.6;  72.0;eor
       7364;2022021809;    3;   7.2;  69.0;eor
       7364;2022021810;    3;   7.3;  71.0;eor
       7364;2022021811;    3;   7.0;  73.0;eor
       7364;2022021812;    3;   6.7;  83.0;eor
       7364;2022021813;    3;   7.5;  83.0;eor
       7364;2022021814;    3;   8.0;  83.0;eor
       7364;2022021815;    3;   9.4;  80.0;eor
       7364;2022021816;    3;  10.5;  78.0;eor
       7364;2022021817;    3;  12.0;  71.0;eor
       7364;2022021818;    3;  12.8;  66.0;eor
       7364;2022021819;    3;  11.0;  74.0;eor
       7364;2022021820;    3;  10.1;  53.0;eor
       7364;2022021821;    3;   9.9;  46.0;eor
       7364;2022021822;    3;   9.3;  44.0;eor
       7364;2022021823;    3;   7.1;  60.0;eor
       7364;2022021900;    3;   4.9;  80.0;eor
       7364;2022021901;    3;   6.7;  53.0;eor
       7364;2022021902;    3;   7.0;  46.0;eor
       7364;2022021903;    3;   6.0;  55.0;eor
       7364;2022021904;    3;   6.1;  48.0;eor
       7364;2022021905;    3;   5.9;  50.0;eor
       7364;2022021906;    3;   5.7;  50.0;eor
       7364;2022021907;    3;   5.2;  56.0;eor
       7364;2022021908;    3;   6.0;  51.0;eor
       7364;2022021909;    3;   6.7;  50.0;eor
       7364;2022021910;    3;   6.8;  48.0;eor
       7364;2022021911;    3;   6.9;  49.0;eor
       7364;2022021912;    3;   6.7;  50.0;eor
       7364;2022021913;    3;   7.2;  47.0;eor
